,count,mean,std,min,25%,50%,75%,max
Basic Materials_w,91.0,0.6991158988848973,0.5499921355903609,0.0,0.3074823146542821,0.518692277909911,1.085226605505274,2.3804789158709942
Communication Services_w,91.0,2.681343058723699,1.7201360943925859,0.0475958617804714,1.23711347260631,2.65316066565813,3.949391596237141,6.649929304602164
Consumer Cyclical_w,91.0,1.8871385761917514,1.3212707708323614,0.0,1.1939104102131175,1.5775690507547555,2.0602596918641014,5.591021130485509
Consumer Defensive_w,91.0,30.55001716856038,12.811399577019554,10.77936258380316,15.979013346126525,34.97999926879804,41.60813479688521,51.947256965403895
Energy_w,91.0,3.6904851577202007,3.5950727926495745,0.0,0.48250256908318756,3.1288515424257244,4.892933366701963,13.877482880515265
Financial Services_w,91.0,39.58365606829486,7.347374659419397,21.875602506839662,33.994786858467805,41.61085628736817,45.2183980560304,49.484500163947395
Healthcare_w,91.0,2.6000002909294895,1.963012414382252,0.0,1.4178410999356528,2.020429647658875,3.760639708981576,7.890058723321851
Industrials_w,91.0,2.1125481713292267,1.6927841876741732,0.0032767961130966,0.7711523574374959,1.9977013668578565,2.5233128543750474,6.878426909735076
Real Estate_w,91.0,0.19421822534196476,0.2154305452589121,0.0,0.0,0.1589889981883969,0.30955786507540073,0.9482088321516332
Technology_w,91.0,15.954333732042722,17.057970854884694,0.0,0.0,12.895009421533462,26.376929533718826,53.25072416559669
Utilities_w,91.0,0.047143651980807534,0.18563367694170269,0.0,0.0,0.0,0.0,1.2862936218517689
