Dropped,Sector,Parameter,Coefficient,Std Error,t-value,P-value,R-squared,Adj R-squared,F-statistic,Prob (F-statistic),RMSE
Utilities_w,Basic Materials_w,const,2.041061340523104,3.568857065373777,0.5719089622070189,0.5673836520429358,0.04862029464961126,-0.09774581386583314,0.8779964821894998,0.5721397448848046,0.5334994542725336
Utilities_w,Basic Materials_w,Basic Materials_lr,0.005041534731636783,0.007696445190625061,0.6550471817531826,0.5124373769928621,0.04862029464961126,-0.09774581386583314,0.8779964821894998,0.5721397448848046,0.5334994542725336
Utilities_w,Basic Materials_w,Communication Services_lr,-0.009605086585241476,0.009998480532093304,-0.9606546269116487,0.3367258521450269,0.04862029464961126,-0.09774581386583314,0.8779964821894998,0.5721397448848046,0.5334994542725336
Utilities_w,Basic Materials_w,Consumer Cyclical_lr,-0.000383611782110555,0.009090452273010164,-0.0421994165515296,0.9663397276719934,0.04862029464961126,-0.09774581386583314,0.8779964821894998,0.5721397448848046,0.5334994542725336
Utilities_w,Basic Materials_w,Consumer Defensive_lr,-0.019956126388465733,0.022248358784186226,-0.8969707195952911,0.3697345414560693,0.04862029464961126,-0.09774581386583314,0.8779964821894998,0.5721397448848046,0.5334994542725336
Utilities_w,Basic Materials_w,Energy_lr,-0.004384843869068021,0.005694744624913199,-0.7699807731299023,0.4413112979473759,0.04862029464961126,-0.09774581386583314,0.8779964821894998,0.5721397448848046,0.5334994542725336
Utilities_w,Basic Materials_w,Financial Services_lr,0.003105757296049094,0.009919196644883346,0.3131057289454129,0.7542003367165495,0.04862029464961126,-0.09774581386583314,0.8779964821894998,0.5721397448848046,0.5334994542725336
Utilities_w,Basic Materials_w,Healthcare_lr,0.004144840306855576,0.009524178234070913,0.435191383969297,0.6634235160496744,0.04862029464961126,-0.09774581386583314,0.8779964821894998,0.5721397448848046,0.5334994542725336
Utilities_w,Basic Materials_w,Industrials_lr,0.008695802539601859,0.015311830357304079,0.5679139813258034,0.5700933778431869,0.04862029464961126,-0.09774581386583314,0.8779964821894998,0.5721397448848046,0.5334994542725336
Utilities_w,Basic Materials_w,Real Estate_lr,-0.003210980295139521,0.008474911443326117,-0.37888068997678154,0.7047764642185748,0.04862029464961126,-0.09774581386583314,0.8779964821894998,0.5721397448848046,0.5334994542725336
Utilities_w,Basic Materials_w,Technology_lr,0.000515464425897864,0.007675039373533043,0.06716114417281235,0.9464534177091128,0.04862029464961126,-0.09774581386583314,0.8779964821894998,0.5721397448848046,0.5334994542725336
Utilities_w,Basic Materials_w,Utilities_lr,0.016504887014185624,0.010005869857624455,1.6495204563957955,0.09904105585792768,0.04862029464961126,-0.09774581386583314,0.8779964821894998,0.5721397448848046,0.5334994542725336
Utilities_w,Basic Materials_w,portfolio_value_ln,-0.05310782237028343,0.14209706983902795,-0.3737432617748251,0.7085953357036384,0.04862029464961126,-0.09774581386583314,0.8779964821894998,0.5721397448848046,0.5334994542725336
Utilities_w,Communication Services_w,const,-25.087643235220725,6.968663859722636,-3.600065054109132,0.0003181375761670462,0.36977410802657995,0.2728162784922077,3.774930125799576,0.00016024711328937354,1.3580366427626662
Utilities_w,Communication Services_w,Basic Materials_lr,0.02142075395295437,0.022017728883321732,0.9728866254312193,0.3306096528970841,0.36977410802657995,0.2728162784922077,3.774930125799576,0.00016024711328937354,1.3580366427626662
Utilities_w,Communication Services_w,Communication Services_lr,-0.017263077343299325,0.018786761770830235,-0.9188958455897014,0.35815005311951353,0.36977410802657995,0.2728162784922077,3.774930125799576,0.00016024711328937354,1.3580366427626662
Utilities_w,Communication Services_w,Consumer Cyclical_lr,0.003464932667114711,0.023280719250793412,0.1488327155956157,0.881685634821539,0.36977410802657995,0.2728162784922077,3.774930125799576,0.00016024711328937354,1.3580366427626662
Utilities_w,Communication Services_w,Consumer Defensive_lr,-0.06031915409907078,0.03498855813555338,-1.7239679859164558,0.08471362270325362,0.36977410802657995,0.2728162784922077,3.774930125799576,0.00016024711328937354,1.3580366427626662
Utilities_w,Communication Services_w,Energy_lr,-0.00882177083094199,0.01310061724228245,-0.6733858922669372,0.5007018214713652,0.36977410802657995,0.2728162784922077,3.774930125799576,0.00016024711328937354,1.3580366427626662
Utilities_w,Communication Services_w,Financial Services_lr,0.06771207179236795,0.02531478460382134,2.6748033946197043,0.0074773085633218096,0.36977410802657995,0.2728162784922077,3.774930125799576,0.00016024711328937354,1.3580366427626662
Utilities_w,Communication Services_w,Healthcare_lr,0.07301500937542056,0.03803505342088799,1.9196767930743164,0.05489873735291113,0.36977410802657995,0.2728162784922077,3.774930125799576,0.00016024711328937354,1.3580366427626662
Utilities_w,Communication Services_w,Industrials_lr,-0.04834022678959868,0.0378867679741496,-1.2759131848507517,0.201986209718094,0.36977410802657995,0.2728162784922077,3.774930125799576,0.00016024711328937354,1.3580366427626662
Utilities_w,Communication Services_w,Real Estate_lr,-0.01795246815016837,0.016778981140602382,-1.0699379181448831,0.2846472539166065,0.36977410802657995,0.2728162784922077,3.774930125799576,0.00016024711328937354,1.3580366427626662
Utilities_w,Communication Services_w,Technology_lr,-0.03498394389615068,0.02445560242055861,-1.4305083675526806,0.15257116598696008,0.36977410802657995,0.2728162784922077,3.774930125799576,0.00016024711328937354,1.3580366427626662
Utilities_w,Communication Services_w,Utilities_lr,0.0357408207488959,0.022027239377949002,1.622573765856255,0.10468055234777081,0.36977410802657995,0.2728162784922077,3.774930125799576,0.00016024711328937354,1.3580366427626662
